item	FACTOR I(EXTRAVERSION)	FACTOR II(AGREEABLENESS) 	FACTOR III(CONSCIENTIOUSNESS) 	FACTOR IV(EMOTIONAL STABILITY) 	FACTOR V(INTELLECT) 	ATTRACTIVENESS	NEGATIVE VALENCE
Am open about my feelings.	1	0	0	0	0	0	0
Take charge.	1	0	0	0	0	0	0
Talk to a lot of different people at parties.	1	0	0	0	0	0	0
Make friends easily.	1	0	0	0	0	0	0
Never at a loss for words.	1	0	0	0	0	0	0
Don't talk a lot.	-1	0	0	0	0	0	0
Keep in the background.	-1	0	0	0	0	0	0
Speak softly.	-1	0	0	0	0	0	0
Have difficulty expressing my feelings.	-1	0	0	0	0	0	0
Hold back my opinions.	-1	0	0	0	0	0	0
Feel others' emotions.	0	1	0	0	0	0	0
Have a soft heart.	0	1	0	0	0	0	0
Sympathize with others' feelings.	0	1	0	0	0	0	0
Am concerned about others.	0	1	0	0	0	0	0
Make people feel at ease.	0	1	0	0	0	0	0
Insult people.	0	-1	0	0	0	0	0
Put people under pressure.	0	-1	0	0	0	0	0
Take advantage of others.	0	-1	0	0	0	0	0
Am not interested in other people's problems.	0	-1	0	0	0	0	0
Find fault with everything.	0	-1	0	0	0	0	0
Do things by the book.	0	0	1	0	0	0	0
Try to follow the rules.	0	0	1	0	0	0	0
Believe laws should be strictly enforced.	0	0	1	0	0	0	0
Pay attention to details.	0	0	1	0	0	0	0
Like order.	0	0	1	0	0	0	0
Act wild and crazy.	0	0	-1	0	0	0	0
Break rules.	0	0	-1	0	0	0	0
Jump into things without thinking.	0	0	-1	0	0	0	0
Do things in a half-way manner.	0	0	-1	0	0	0	0
Do crazy things.	0	0	-1	0	0	0	0
Seldom feel blue.	0	0	0	1	0	0	0
Am relaxed most of the time.	0	0	0	1	0	0	0
Feel comfortable with myself.	0	0	0	1	0	0	0
Am not easily bothered by things.	0	0	0	1	0	0	0
Take things as they come.	0	0	0	1	0	0	0
Often feel blue.	0	0	0	-1	0	0	0
Am often down in the dumps.	0	0	0	-1	0	0	0
Get stressed out easily.	0	0	0	-1	0	0	0
Have frequent mood swings.	0	0	0	-1	0	0	0
Feel desperate.	0	0	0	-1	0	0	0
Have excellent ideas.	0	0	0	0	1	0	0
Quick to understand things.	0	0	0	0	1	0	0
Have a rich vocabulary.	0	0	0	0	1	0	0
Use my brain.	0	0	0	0	1	0	0
Carry the conversation to a higher level.	0	0	0	0	1	0	0
Am not interested in abstract ideas.	0	0	0	0	-1	0	0
Have difficulty understanding abstract ideas.	0	0	0	0	-1	0	0
Try to avoid complex people.	0	0	0	0	-1	0	0
Will not probe deeply into a subject.	0	0	0	0	-1	0	0
Avoid difficult reading material.	0	0	0	0	-1	0	0
Keep myself well-groomed.	0	0	0	0	0	1	0
Like to tidy up.	0	0	0	0	0	1	0
Get things done quickly.	0	0	0	0	0	1	0
Believe that I am important.	0	0	0	0	0	1	0
Keep improving myself.	0	0	0	0	0	1	0
Don't care about dressing nicely.	0	0	0	0	0	-1	0
Know that I am not a special person.	0	0	0	0	0	-1	0
Don't like to get dressed up.	0	0	0	0	0	-1	0
Pay no attention to my appearance.	0	0	0	0	0	-1	0
Am not highly motivated to succeed.	0	0	0	0	0	-1	0
Copy others.	0	0	0	0	0	0	1
Demand attention.	0	0	0	0	0	0	1
Try to impress others.	0	0	0	0	0	0	1
Need the approval of others.	0	0	0	0	0	0	1
Conform to others' opinions.	0	0	0	0	0	0	1
Change myself to suit others.	0	0	0	0	0	0	1
Talk mainly about myself.	0	0	0	0	0	0	1
Interfere in other people's business.	0	0	0	0	0	0	1
Want to be told I am right.	0	0	0	0	0	0	1
Want to prove myself.	0	0	0	0	0	0	1
