item	ipip_id	Volatility	Withdrawal	Compassion	Politeness	Industriousness	Orderliness	Enthusiasm	Assertiveness	Intellect	Openness
Get angry easily.	H754, X18	1	0	0	0	0	0	0	0	0	0
Get upset easily.	X95	1	0	0	0	0	0	0	0	0	0
Change my mood a lot.	H926	1	0	0	0	0	0	0	0	0	0
Am a person whose moods go up and down easily.	R1	1	0	0	0	0	0	0	0	0	0
Get easily agitated.	Q77	1	0	0	0	0	0	0	0	0	0
Can be stirred up easily.	H921	1	0	0	0	0	0	0	0	0	0
Rarely get irritated.	X265	-1	0	0	0	0	0	0	0	0	0
Keep my emotions under control.	H381	-1	0	0	0	0	0	0	0	0	0
Rarely lose my composure.	E99	-1	0	0	0	0	0	0	0	0	0
Am not easily annoyed.	X23	-1	0	0	0	0	0	0	0	0	0
Am filled with doubts about things.	H683	0	1	0	0	0	0	0	0	0	0
Feel threatened easily.	H612	0	1	0	0	0	0	0	0	0	0
Worry about things.	H1157, X5	0	1	0	0	0	0	0	0	0	0
Am easily discouraged.	H647	0	1	0	0	0	0	0	0	0	0
Become overwhelmed by events.	H959	0	1	0	0	0	0	0	0	0	0
Am afraid of many things.	H968	0	1	0	0	0	0	0	0	0	0
Seldom feel blue.	X156	0	-1	0	0	0	0	0	0	0	0
Feel comfortable with myself.	X129	0	-1	0	0	0	0	0	0	0	0
Rarely feel depressed.	D87	0	-1	0	0	0	0	0	0	0	0
Am not embarrassed easily.	X242	0	-1	0	0	0	0	0	0	0	0
Feel others' emotions.	E136	0	0	1	0	0	0	0	0	0	0
Inquire about others' well-being.	H225	0	0	1	0	0	0	0	0	0	0
Sympathize with others' feelings.	H1130	0	0	1	0	0	0	0	0	0	0
Take an interest in other people's lives.	H1129	0	0	1	0	0	0	0	0	0	0
Like to do things for others.	H109	0	0	1	0	0	0	0	0	0	0
Am not interested in other people's problems.	X227	0	0	-1	0	0	0	0	0	0	0
Can't be bothered with other's needs.	X237	0	0	-1	0	0	0	0	0	0	0
Am indifferent to the feelings of others.	X203	0	0	-1	0	0	0	0	0	0	0
Take no time for others.	H918, X170	0	0	-1	0	0	0	0	0	0	0
Don't have a soft side.	E143	0	0	-1	0	0	0	0	0	0	0
Respect authority.	H296	0	0	0	1	0	0	0	0	0	0
Hate to seem pushy.	E31	0	0	0	1	0	0	0	0	0	0
Avoid imposing my will on others.a		0	0	0	1	0	0	0	0	0	0
Rarely put people under pressure.b		0	0	0	1	0	0	0	0	0	0
Insult people.	H1103	0	0	0	-1	0	0	0	0	0	0
Believe that I am better than others.	H736, X61	0	0	0	-1	0	0	0	0	0	0
Take advantage of others.	H427, V109	0	0	0	-1	0	0	0	0	0	0
Seek conflict.	H720	0	0	0	-1	0	0	0	0	0	0
Love a good fight.	H453	0	0	0	-1	0	0	0	0	0	0
Am out for my own personal gain.	H1325	0	0	0	-1	0	0	0	0	0	0
Carry out my plans.	H258	0	0	0	0	1	0	0	0	0	0
Finish what I start.	H254	0	0	0	0	1	0	0	0	0	0
Get things done quickly.	H555	0	0	0	0	1	0	0	0	0	0
Always know what I am doing.	P427	0	0	0	0	1	0	0	0	0	0
Waste my time.	H1186, X49	0	0	0	0	-1	0	0	0	0	0
Find it difficult to get down to work.	H1171	0	0	0	0	-1	0	0	0	0	0
Mess things up.	H896	0	0	0	0	-1	0	0	0	0	0
Don't put my mind on the task at hand.	H854	0	0	0	0	-1	0	0	0	0	0
Postpone decisions.	H1180	0	0	0	0	-1	0	0	0	0	0
Am easily distracted.	H843, F44, T192	0	0	0	0	-1	0	0	0	0	0
Like order.	X118	0	0	0	0	0	1	0	0	0	0
Keep things tidy.	Q104	0	0	0	0	0	1	0	0	0	0
Follow a schedule.	X179	0	0	0	0	0	1	0	0	0	0
Want everything to be just right.	E11	0	0	0	0	0	1	0	0	0	0
See that rules are observed.	H215	0	0	0	0	0	1	0	0	0	0
Want every detail taken care of.	H1002	0	0	0	0	0	1	0	0	0	0
Leave my belongings around.	H823	0	0	0	0	0	-1	0	0	0	0
Am not bothered by messy people.	E100	0	0	0	0	0	-1	0	0	0	0
Am not bothered by disorder.	E7	0	0	0	0	0	-1	0	0	0	0
Dislike routine.	X122	0	0	0	0	0	-1	0	0	0	0
Make friends easily.	H29	0	0	0	0	0	0	1	0	0	0
Warm up quickly to others.	H52, X1	0	0	0	0	0	0	1	0	0	0
Show my feelings when I'm happy.	A139	0	0	0	0	0	0	1	0	0	0
Have a lot of fun.	H1094	0	0	0	0	0	0	1	0	0	0
Laugh a lot.	Q138	0	0	0	0	0	0	1	0	0	0
Am hard to get to know.	H596, X9	0	0	0	0	0	0	-1	0	0	0
Keep others at a distance.	H704	0	0	0	0	0	0	-1	0	0	0
Reveal little about myself.	H601	0	0	0	0	0	0	-1	0	0	0
Rarely get caught up in the excitement.	A13	0	0	0	0	0	0	-1	0	0	0
Am not a very enthusiastic person.c		0	0	0	0	0	0	-1	0	0	0
Take charge.	H334, X27	0	0	0	0	0	0	0	1	0	0
Have a strong personality.	Q14	0	0	0	0	0	0	0	1	0	0
Know how to captivate people.	H1110	0	0	0	0	0	0	0	1	0	0
See myself as a good leader.	P439	0	0	0	0	0	0	0	1	0	0
Can talk others into doing things.	H1137	0	0	0	0	0	0	0	1	0	0
Am the first to act.	H518	0	0	0	0	0	0	0	1	0	0
Do not have an assertive personality.d		0	0	0	0	0	0	0	-1	0	0
Lack the talent for influencing people.	P346	0	0	0	0	0	0	0	-1	0	0
Wait for others to lead the way.	H976	0	0	0	0	0	0	0	-1	0	0
Hold back my opinions.	H679	0	0	0	0	0	0	0	-1	0	0
Am quick to understand things.	X100	0	0	0	0	0	0	0	0	1	0
Can handle a lot of information.	H1322	0	0	0	0	0	0	0	0	1	0
Like to solve complex problems.	X201	0	0	0	0	0	0	0	0	1	0
Have a rich vocabulary.	H1276, X245	0	0	0	0	0	0	0	0	1	0
Think quickly.	H1287	0	0	0	0	0	0	0	0	1	0
Formulate ideas clearly.	H1219	0	0	0	0	0	0	0	0	1	0
Have difficulty understanding abstract ideas.	X176	0	0	0	0	0	0	0	0	-1	0
Avoid philosophical discussions.	X248	0	0	0	0	0	0	0	0	-1	0
Avoid difficult reading material.	X109	0	0	0	0	0	0	0	0	-1	0
Learn things slowly.	Q67	0	0	0	0	0	0	0	0	-1	0
Enjoy the beauty of nature.	W15, X261	0	0	0	0	0	0	0	0	0	1
Believe in the importance of art.	X123	0	0	0	0	0	0	0	0	0	1
Love to reflect on things.	H1210	0	0	0	0	0	0	0	0	0	1
Get deeply immersed in music.	Q51	0	0	0	0	0	0	0	0	0	1
See beauty in things that others might not notice.	E105	0	0	0	0	0	0	0	0	0	1
Need a creative outlet.	E87	0	0	0	0	0	0	0	0	0	1
Do not like poetry.	X45	0	0	0	0	0	0	0	0	0	-1
Seldom get lost in thought.	X175	0	0	0	0	0	0	0	0	0	-1
Seldom daydream.	X135	0	0	0	0	0	0	0	0	0	-1
Seldom notice the emotional aspects of paintings and pictures.	D4	0	0	0	0	0	0	0	0	0	-1
