item	Factor I (Surgency or Extraversion)	ipip_id	Factor II (Agreeableness)	Factor III (Conscientiousness)	Factor IV (Emotional Stability)	Factor V (Intellect or Imagination)
Am the life of the party.	1	H34, X94	0	0	0	0
Feel comfortable around people.	1	X112	0	0	0	0
Start conversations.	1	H16	0	0	0	0
Talk to a lot of different people at parties.	1	X83	0	0	0	0
Don't mind being the center of attention.	1	X78	0	0	0	0
Don't talk a lot.	-1	X56	0	0	0	0
Keep in the background.	-1	H154, X34	0	0	0	0
Have little to say.	-1	H1039	0	0	0	0
Don't like to draw attention to myself.	-1	X68	0	0	0	0
Am quiet around strangers.	-1	H661, X260	0	0	0	0
Am interested in people.	0	H21	1	0	0	0
Sympathize with others' feelings.	0	H1130	1	0	0	0
Have a soft heart.	0	X177	1	0	0	0
Take time out for others.	0	H160	1	0	0	0
Feel others' emotions.	0	E136	1	0	0	0
Make people feel at ease.	0	H107	1	0	0	0
Am not really interested in others.	0	X165	-1	0	0	0
Insult people.	0	H1103	-1	0	0	0
Am not interested in other people's problems.	0	X227	-1	0	0	0
Feel little concern for others.	0	X244	-1	0	0	0
Am always prepared.	0	X87	0	1	0	0
Pay attention to details.	0	H1362, X249	0	1	0	0
Get chores done right away.	0	E119	0	1	0	0
Like order.	0	X118	0	1	0	0
Follow a schedule.	0	X179	0	1	0	0
Am exacting in my work.	0	X163	0	1	0	0
Leave my belongings around.	0	H823	0	-1	0	0
Make a mess of things.	0	H1467	0	-1	0	0
Often forget to put things back in their proper place.	0	X82	0	-1	0	0
Shirk my duties.	0	H1140, X246	0	-1	0	0
Am relaxed most of the time.	0	E141	0	0	1	0
Seldom feel blue.	0	X156	0	0	1	0
Get stressed out easily.	0	X107	0	0	-1	0
Worry about things.	0	H1157, X5	0	0	-1	0
Am easily disturbed.	0	H927, X213	0	0	-1	0
Get upset easily.	0	X95	0	0	-1	0
Change my mood a lot.	0	H926	0	0	-1	0
Have frequent mood swings.	0	E92	0	0	-1	0
Get irritated easily.	0	H761	0	0	-1	0
Often feel blue.	0	X74	0	0	-1	0
Have a rich vocabulary.	0	H1276, X245	0	0	0	1
Have a vivid imagination.	0	X14	0	0	0	1
Have excellent ideas.	0	H1313	0	0	0	1
Am quick to understand things.	0	X100	0	0	0	1
Use difficult words.	0	H1272	0	0	0	1
Spend time reflecting on things.	0	X114	0	0	0	1
Am full of ideas.	0	H53	0	0	0	1
Have difficulty understanding abstract ideas.	0	X176	0	0	0	-1
Am not interested in abstract ideas.	0	X228	0	0	0	-1
Do not have a good imagination.	0	X272	0	0	0	-1
