item	ipip_id	POSITIVE EXPRESSIVITY 	NEGATIVE EXPRESSIVITY 	ATTENDING TO EMOTIONS 	EMOTION-BASED DECISION-MAKING 	RESPONSIVE JOY 	RESPONSIVE DISTRESS 	EMPATHIC CONCERN 
Express my affection physically.	H24	1	0	0	0	0	0	0
Laugh out loud if something is funny.	A5	1	0	0	0	0	0	0
Express my happiness in a childlike manner.	A7	1	0	0	0	0	0	0
Sometimes laugh out loud when reading or watching TV.	A48	1	0	0	0	0	0	0
Hug my close friends.	A79	1	0	0	0	0	0	0
Show my feelings when I'm happy.	A139	1	0	0	0	0	0	0
Find it difficult showing people that I care about them.	A4	-1	0	0	0	0	0	0
Have difficulty showing affection.	A132	-1	0	0	0	0	0	0
Keep my happy feelings to myself.	A84	-1	0	0	0	0	0	0
Shout or scream when I'm angry.	A3	0	1	0	0	0	0	0
Can't help but look upset when something bad happens.	A14	0	1	0	0	0	0	0
Show my fear.	A54	0	1	0	0	0	0	0
Suspect that my facial expressions give me away when I feel sad.	A80	0	1	0	0	0	0	0
Show my sadness.	A101	0	1	0	0	0	0	0
Keep my feelings to myself, regardless of how unhappy I am.	A10	0	-1	0	0	0	0	0
Find it difficult showing people that I'm angry with them.	A12	0	-1	0	0	0	0	0
Keep my feelings to myself, regardless of how scared I am.	A130	0	-1	0	0	0	0	0
Rarely show my anger.	A66	0	-1	0	0	0	0	0
Wish I could more easily show my negative feelings.	A28	0	-1	0	0	0	0	0
Think about the causes of my emotions.	A33	0	0	1	0	0	0	0
Pay a lot of attention to my feelings.	A116	0	0	1	0	0	0	0
Am usually aware of the way that I'm feeling.	A122	0	0	1	0	0	0	0
Notice my emotions.	A134	0	0	1	0	0	0	0
Often stop to analyze how I'm feeling.	A142	0	0	1	0	0	0	0
Rarely think about how I feel.	A87	0	0	-1	0	0	0	0
Rarely analyze my emotions.	A106	0	0	-1	0	0	0	0
Am not in touch with my feelings.	E9	0	0	-1	0	0	0	0
Often ignore my feelings.	X183	0	0	-1	0	0	0	0
Rarely notice my emotional reactions.	X10	0	0	-1	0	0	0	0
Listen to my feelings when making important decisions.	A15	0	0	0	1	0	0	0
Base my goals in life on inspiration, rather than logic.	A26	0	0	0	1	0	0	0
Plan my life based on how I feel.	A69	0	0	0	1	0	0	0
Believe emotions give direction to life.		0	0	0	1	0	0	0
Listen to my heart rather than my brain.	X199	0	0	0	1	0	0	0
Plan my life logically.	A97	0	0	0	-1	0	0	0
Believe important decisions should be based on logical reasoning.		0	0	0	-1	0	0	0
Listen to my brain rather than my heart.	H378	0	0	0	-1	0	0	0
Make decisions based on facts, not feelings.	A113	0	0	0	-1	0	0	0
Like to watch children open presents.	A1	0	0	0	0	1	0	0
Usually end up laughing if the people around me are laughing.	A16	0	0	0	0	1	0	0
Feel other people's joy.	A63	0	0	0	0	1	0	0
Get caught up in the excitement when others are celebrating.	A71	0	0	0	0	1	0	0
Am strongly influenced by the good moods of others.	A72	0	0	0	0	1	0	0
Find it hard to stay in a bad mood if the people around me are happy.	A76	0	0	0	0	1	0	0
Dislike being around happy people when I'm feeling sad.	A2	0	0	0	0	-1	0	0
Am unaffected by other people's happiness.	A11	0	0	0	0	-1	0	0
Rarely get caught up in the excitement.	A13	0	0	0	0	-1	0	0
Dislike children's birthday parties.	A42	0	0	0	0	-1	0	0
Am deeply moved by others' misfortunes.	X253	0	0	0	0	0	1	0
Am easily moved to tears.	H992	0	0	0	0	0	1	0
Suffer from others' sorrows.	H988, X65	0	0	0	0	0	1	0
Am upset by the misfortunes of strangers.	A135	0	0	0	0	0	1	0
Would be upset if I saw an injured animal.	A46	0	0	0	0	0	1	0
Am calm even in tense situations.	E64	0	0	0	0	0	-1	0
Am not easily disturbed by events.	H1046, X11	0	0	0	0	0	-1	0
Am unaffected by the suffering of others.	A67	0	0	0	0	0	-1	0
Rarely cry during sad movies.	A56	0	0	0	0	0	-1	0
Remain calm during emergencies.	A128	0	0	0	0	0	-1	0
Am concerned about others.	H1100, X31	0	0	0	0	0	0	1
Feel sympathy for those who are worse off than myself.	E115	0	0	0	0	0	0	1
Sympathize with the homeless.	X259	0	0	0	0	0	0	1
Believe that criminals should receive help rather than punishment.	X219	0	0	0	0	0	0	1
Believe that the poor deserve our sympathy.	A24	0	0	0	0	0	0	1
Feel little concern for others.	X244	0	0	0	0	0	0	-1
Have no sympathy for criminals.	E169	0	0	0	0	0	0	-1
Look down on any weakness.	H435	0	0	0	0	0	0	-1
Don't like to get involved in other people's problems.	X103	0	0	0	0	0	0	-1
Have little sympathy for the unemployed.	A51	0	0	0	0	0	0	-1
