item	ipip_id	Factor I Surgency or Extraversion 	Factor II Agreeableness 	Factor III Conscientiousness 	Factor IV Neuroticismb 	Factor V Intellect or Imagination 
Am the life of the party.	H34, X94	1	0	0	0	0
Talk to a lot of different people at parties.	X83	1	0	0	0	0
Don't talk a lot.	X56	-1	0	0	0	0
Keep in the background.	H154, X34	-1	0	0	0	0
Sympathize with others' feelings.	H1130	0	1	0	0	0
Feel others' emotions.	E136	0	1	0	0	0
Am not really interested in others.	X165	0	-1	0	0	0
Am not interested in other people's problems.	X227	0	-1	0	0	0
Get chores done right away.	E119	0	0	1	0	0
Like order.	X118	0	0	1	0	0
Often forget to put things back in their proper place.	X82	0	0	-1	0	0
Make a mess of things.	H1467	0	0	-1	0	0
Have frequent mood swings.	E92	0	0	0	1	0
Get upset easily.	X95	0	0	0	1	0
Am relaxed most of the time.	E141	0	0	0	-1	0
Seldom feel blue.	X156	0	0	0	-1	0
Have a vivid imagination.	X14	0	0	0	0	1
Have difficulty understanding abstract ideas.	X176	0	0	0	0	-1
Am not interested in abstract ideas.	X228	0	0	0	0	-1
Do not have a good imagination.	X272	0	0	0	0	-1
